"codigo","nome_digitado_na_venda","total_pedidos"
"LJ-001","Pata Amiga Blumenau Centro","63"
"LJ-001","PATA AMIGA BLUMENAU CENTRO","32"
"LJ-001"," Pata Amiga Blumenau Centro","27"
"LJ-001","Pata Amiga Blumenal Centro","27"
"LJ-001","pata amiga blumenau centro","26"
"LJ-001","Pata Amiga Blumenau Centro/SC","16"
"LJ-002","Pata Amiga Rio do Sul","31"
"LJ-002","PATA AMIGA RIO DO SUL","17"
"LJ-002","Pata Amiga Rio do sul","14"
"LJ-002","Pata Amiga Rio Do Sul","12"
"LJ-002"," Pata Amiga Rio do Sul","11"
"LJ-003","PATA AMIGA ITAJAI PRAIA","20"
"LJ-003","Pata Amiga Itajai Praia","18"
"LJ-003","Pata Amiga Itajai Praia/SC","17"
"LJ-003","Pata Amiga Itajaí Praia","15"
"LJ-003","PATA AMIGA ITAJAÍ PRAIA","14"
"LJ-003","pata amiga itajai praia","11"
"LJ-004","pata amiga brusque","22"
"LJ-004","PATA AMIGA BRUSQUE","22"
"LJ-004","Pata Amiga Brusque","18"
"LJ-004"," Pata Amiga Brusque","14"
"LJ-005","Pata Amiga Timbo","39"
"LJ-005","PATA AMIGA TIMBO","20"
"LJ-005","Pata Amiga Timbó","18"
"LJ-006","Pata Amiga Indaial","43"
"LJ-006","PATA AMIGA INDAIAL","18"
"LJ-006","pata amiga indaial","13"
"LJ-007"," Pata Amiga Gaspar","30"
"LJ-007","pata amiga gaspar","26"
"LJ-007","Pata Amiga Gaspar","26"
"LJ-007","PATA AMIGA GASPAR","25"
"LJ-008","Pata Amiga Presidente Getulio","21"
"LJ-008","PATA AMIGA PRESIDENTE GETULIO","19"
"LJ-008","Pata Amiga Presidente Getúlio","18"
"LJ-009","Pata Amiga Taió","11"
"LJ-009","Pata Amiga Taio","11"
"LJ-009","PATA AMIGA TAIO","10"
"LJ-009","pata amiga taio","9"
"LJ-010","Pata Amiga Ituporanga","15"
"LJ-010","PATA AMIGA ITUPORANGA","11"
"LJ-010","pata amiga ituporanga","9"
"LJ-011","Pata Amiga Ibirama/SC","19"
"LJ-011","pata amiga ibirama","17"
"LJ-011","Pata Amiga Ibirama","14"
"LJ-011","PATA AMIGA IBIRAMA","9"
"LJ-012","PATA AMIGA RIO DOS CEDROS","14"
"LJ-012","Pata Amiga Rio dos Cedros","13"
"LJ-012","Pata Amiga Rio Dos Cedros","6"
"LJ-012","Pata Amiga Rio dos cedros","6"
"LJ-013","pata amiga joinville sul","57"
"LJ-013","Pata Amiga Joinville Sul/SC","51"
"LJ-013","PATA AMIGA JOINVILLE SUL","49"
"LJ-013","Pata Amiga Joinville Sul","41"
"LJ-014","Pata Amiga Jaraguá do Sul","40"
"LJ-014","PATA AMIGA JARAGUA DO SUL","32"
"LJ-014","Pata Amiga Jaragua do Sul","26"
"LJ-014","Pata Amiga Jgua do Sul","26"
"LJ-014","Pata Amiga Jaragua Do Sul","25"
"LJ-015","PATA AMIGA SAO BENTO DO SUL","25"
"LJ-015","Pata Amiga São Bento do Sul","23"
"LJ-015","Pata Amiga Sao Bento do Sul","17"
"LJ-016","pata amiga itapoa","15"
"LJ-016","Pata Amiga Itapoá","11"
"LJ-016","Pata Amiga Itapoa","11"
"LJ-016","PATA AMIGA ITAPOA","10"
"LJ-017","Pata Amiga Florianopolis Norte","36"
"LJ-017","pata amiga florianopolis norte","29"
"LJ-017","Pata Amiga Florianopolis Norte/SC","28"
"LJ-017","Pata Amiga Florianópolis Norte","26"
"LJ-017","Pata Amiga Floripa Norte","23"
"LJ-017","PATA AMIGA FLORIANOPOLIS NORTE","20"
"LJ-018","Pata Amiga Sao Jose Kobrasol","19"
"LJ-018","Pata Amiga São José Kobrasol","19"
"LJ-018","PATA AMIGA SAO JOSE KOBRASOL","17"
"LJ-018","Pata Amiga São Jose Kobrasol","16"
"LJ-018","Pata Amiga Sao Jose Kobrasol/SC","15"
"LJ-019","Pata Amiga Palhoca","32"
"LJ-019","Pata Amiga Palhoça","32"
"LJ-019","pata amiga palhoca","27"
"LJ-019","PATA AMIGA PALHOCA","22"
"LJ-020","Pata Amiga Santo Amaro da Imperatriz","32"
"LJ-020","PATA AMIGA SANTO AMARO DA IMPERATRIZ","30"
"LJ-021","Pata Amiga Criciuma","23"
"LJ-021","PATA AMIGA CRICIUMA","22"
"LJ-021","Pata Amiga Criciúma","21"
"LJ-021","pata amiga criciuma","18"
"LJ-021","Pata Amiga Criciuma/SC","13"
"LJ-022","Pata Amiga Tubarao","27"
"LJ-022","Pata Amiga Tubarão","25"
"LJ-022","pata amiga tubarao","22"
"LJ-022","PATA AMIGA TUBARAO","21"
"LJ-023","Pata Amiga Ararangua","23"
"LJ-023","Pata Amiga Araranguá","14"
"LJ-023","pata amiga araranguá","13"
"LJ-023","PATA AMIGA ARARANGUA","11"
"LJ-024","pata amiga laguna","14"
"LJ-024","Pata Amiga Laguna","14"
"LJ-024","Pata Amiga Laguna/SC","11"
"LJ-024","PATA AMIGA LAGUNA","11"
"LJ-025","pata amiga lages","30"
"LJ-025","PATA AMIGA LAGES","24"
"LJ-025","Pata Amiga Lages","17"
"LJ-026","Pata Amiga São Joaquim","8"
"LJ-026","PATA AMIGA SAO JOAQUIM","8"
"LJ-026","Pata Amiga Sao Joaquim","6"
"LJ-027","Pata Amiga Otacílio Costa","8"
"LJ-027","PATA AMIGA OTACILIO COSTA","6"
"LJ-027","Pata Amiga Otacilio Costa","5"
"LJ-027","Pata Amiga Otacilio  Costa","4"
"LJ-028","Pata Amiga Curitibanos","12"
"LJ-028","PATA AMIGA CURITIBANOS","10"
"LJ-028","pata amiga curitibanos","9"
"LJ-029","Pata Amiga Chapecó","29"
"LJ-029","pata amiga chapeco","18"
"LJ-029","PATA AMIGA CHAPECO","18"
"LJ-029","Pata Amiga Chapeco","17"
"LJ-029","Pata Amiga Chapeco/SC","14"
"LJ-030","Pata Amiga Concordia","31"
"LJ-030","Pata Amiga Concórdia","15"
"LJ-030","PATA AMIGA CONCORDIA","6"
"LJ-031","pata amiga xanxere","11"
"LJ-031","PATA AMIGA XANXERE","7"
"LJ-031","Pata Amiga Xanxerê","6"
"LJ-031","Pata Amiga Xanxere","3"
"LJ-032","Pata Amiga Sao Miguel do Oeste","10"
"LJ-032","Pata Amiga São Miguel do Oeste","8"
"LJ-032","PATA AMIGA SAO MIGUEL DO OESTE","7"

Resposta à Tarefa 1: "Quantos pedidos vieram sem código de loja?"? 

Justifica a nossa Fato: É exatamente para não perder essas vendas sem código que nós usamos a nossa chave de segurança (-1 / Não Informado) no script da tabela fato!
